SIMULATION_NUMBER,TAG_COUNT,COLLISION_SLOTS,EMPTY_SLOTS,SENT_BITS,SIMULATION_TIME,TOTAL_SLOTS
89,100,155,56,60032,0.003976583480834961,311
90,100,141,42,57088,0.00399017333984375,283
91,100,140,41,56192,0.003987550735473633,281
92,100,142,43,56896,0.003989458084106445,285
93,100,136,37,56768,0.003988981246948242,273
94,100,132,33,56512,0.003988981246948242,265
95,100,154,55,59328,0.005045890808105469,309
96,100,158,59,59136,0.004987001419067383,317
97,100,143,44,56512,0.003985166549682617,287
98,100,136,37,56576,0.003989458084106445,273
99,100,153,54,59520,0.004984378814697266,307
100,100,140,41,57344,0.003988027572631836,281
1,200,282,83,127616,0.016954660415649414,565
2,200,295,96,128320,0.01695847511291504,591
3,200,286,87,127680,0.01595759391784668,573
4,200,286,87,128064,0.015950679779052734,573
5,200,294,95,129984,0.01695561408996582,589
6,200,278,79,125632,0.01591944694519043,557
7,200,285,86,127552,0.016991853713989258,571
8,200,284,85,126272,0.015991926193237305,569
9,200,274,75,126400,0.014954328536987305,549
10,200,275,76,124672,0.015920400619506836,551
11,200,273,74,125888,0.015919923782348633,547
12,200,282,83,127680,0.01595759391784668,565
13,200,287,88,128256,0.016954660415649414,575
14,200,280,81,126784,0.01595449447631836,561
15,200,286,87,127552,0.016955137252807617,573
16,200,272,73,124800,0.01496267318725586,545
17,200,285,86,127104,0.01595616340637207,571
18,200,279,80,125952,0.015957355499267578,559
19,200,278,79,126784,0.01595616340637207,557
20,200,264,65,125760,0.014958381652832031,529
21,200,274,75,126080,0.014960289001464844,549
22,200,294,95,127872,0.01595783233642578,589
23,200,304,105,129344,0.0169525146484375,609
24,200,308,109,130496,0.01695108413696289,617
25,200,283,84,127104,0.015956878662109375,567
26,200,289,90,127168,0.015956640243530273,579
27,200,290,91,127680,0.016956806182861328,581
28,200,295,96,128960,0.016917705535888672,591
29,200,276,77,125632,0.015954971313476562,553
30,200,294,95,128064,0.016958236694335938,589
31,200,286,87,126784,0.015958547592163086,573
32,200,264,65,125248,0.015003442764282227,529
33,200,290,91,128064,0.015958070755004883,581
34,200,269,70,126016,0.014921903610229492,539
35,200,280,81,126144,0.015915393829345703,561
36,200,284,85,127744,0.015963315963745117,569
37,200,292,93,127616,0.015957117080688477,585
38,200,288,89,126912,0.015925884246826172,577
39,200,284,85,127488,0.016008615493774414,569
40,200,273,74,125376,0.01595759391784668,547
41,200,299,100,129792,0.016948938369750977,599
42,200,306,107,130496,0.017940282821655273,613
43,200,300,101,129344,0.016965389251708984,601
